"Thesaurus","Tesauro"
"Maximum number of alternative search queries taken into account. Use this setting if you have performance issues arising on your cluster related to a huge volume of thesaurus rules. Defaults to 0 (no limitation).","Número máximo de consultas de búsqueda alternativas tomadas en cuenta. Utilice esta opción si tiene problemas de rendimiento que surgen en su clúster relacionados con un gran volumen de reglas de estesaurus. Por defecto 0 (sin limitación)."
"Synonyms Configuration","Configuración de sinónimos"
"Enable Synonyms Search","Habilitar búsqueda de sinónimos"
"Synonyms Weight Divider","Divider del peso de sinónimos"
"Query Expansions Configuration","Configuración de Expansiones de consulta"
"Enable Search Expansions","Habilitar expansiones de búsqueda"
"Concepts Weight Divider","Conceptos Divider de Peso"
"ElasticSuite Thesaurus Indexing","Indexación de tesauro de ElasticSuite"
"Reindex ElasticSuite search engine thesaurus.","Tesauro del motor de búsqueda Reindex ElasticSuite."
"Manage Elasticsuite Thesaurus","Administrar Tesauro de Elasticsuite"
"Delete","Eliminar"
"Are you sure?","¿Estás seguro?"
"Name","Nombre"
"Expansions","Expansiones"
"Terms","Términos"
"Status","Estado"
"Inactive","Inactivo"
"Action","Accin"
"Edit","Editar"
"Any","Cualquier"
"Mass Actions","Acciones en masa"
"Enable","Activar"
"Disable","Desactivar"
"Select All","Seleccionar todo"
"Unselect All","Deseleccionar todo"
"Select Visible","Seleccionar Visible"
"Unselect Visible","Deseleccionar Visible"
"Are you sure you want to enable the selected thesaurus?","¿Estás seguro de que quieres activar el tesauro seleccionado?"
"Are you sure you want to disable the selected thesaurus?","¿Estás seguro de que quieres desactivar el tesauro seleccionado?"
"Are you sure you want to delete the selected thesaurus?","¿Estás seguro de que quieres eliminar el tesauro seleccionado?"
"Please select thesaurus to disable.","Por favor seleccione este tesauro para desactivar."
"Total of %1 thesaurus were disabled.","Total de %1 estesaurios fueron desactivados."
"Please select thesaurus to enable.","Por favor seleccione este tesauro para habilitar."
"Total of %1 thesaurus were enabled.","Total de %1 estesaurios fueron habilitados."
"Thesaurus (global settings)","Tesauro (ajustes globales)"
"Cache settings","Ajustes de caché"
"Always cache thesaurus application results","Siempre cachear los resultados de la aplicación de este aurio"
"Set this to ""No"" to conditionally cache the results of user search query rewriting by active thesaurus rules. This can be used in peak trafic times to reduce the impact on your cache component with a trade-off of an increased volume of analysis requests sent to Elasticsearch/Opensearch and increased CPU usage.","Establezca esto en ""No"" para almacenar en caché condicional los resultados de la reescritura de la consulta de búsqueda de usuarios por las reglas activas del tesauro. Esto puede ser usado en tiempos de tráfico pico para reducir el impacto en el componente de caché con una compensación de un mayor volumen de solicitudes de análisis enviadas a Elasticsearch/Opensearch y un mayor uso de CPU."
"Minimum amount of alternative queries","Cantidad mínima de consultas alternativas"
"The minimum amount of alternative queries that must be generated for a given original user search for enabling the storage of the results in the cache component. Set this to 1, for instance, to only cache the results when there is at least one alternative query generated by the thesaurus rules. Defaults to 0: cache storage is used even when there is no alternative queries through the thesaurus.","La cantidad mínima de consultas alternativas que deben ser generadas para una determinada búsqueda de usuario original para permitir el almacenamiento de los resultados en el componente caché. Establezca esto en 1, por ejemplo, para almacenar en caché los resultados sólo cuando haya al menos una consulta alternativa generada por las reglas del tesauro. Por defecto 0: el almacenamiento de caché se usa incluso cuando no hay consultas alternativas a través del estesaurio."
