"ElasticSuite Thesaurus Indexing","ElasticSuite Thesaurus Indicizzazione"
"Reindex ElasticSuite search engine thesaurus.","Reindex ElasticSuite motore di ricerca thesaurus."
"Manage Elasticsuite Thesaurus","Gestisci Elasticsuite Thesaurus"
"Delete","Elimina"
"Are you sure?","Sei sicuro?"
"Name","Nome"
"Expansions","Espansioni"
"Terms","Termini"
"Status","Stato"
"Inactive","Inattivo"
"Action","Azione"
"Edit","Modifica"
"Any","Qualsiasi"
"Mass Actions","Azioni Di Massa"
"Enable","Abilita"
"Disable","Disabilita"
"Select All","Seleziona Tutto"
"Unselect All","Deseleziona Tutto"
"Select Visible","Seleziona Visibile"
"Unselect Visible","Deseleziona Visibile"
"Are you sure you want to enable the selected thesaurus?","Sei sicuro di voler abilitare il thesaurus selezionato?"
"Are you sure you want to disable the selected thesaurus?","Sei sicuro di voler disattivare il thesaurus selezionato?"
"Are you sure you want to delete the selected thesaurus?","Sei sicuro di voler eliminare il thesaurus selezionato?"
"Please select thesaurus to disable.","Seleziona il thesaurus da disabilitare."
"Total of %1 thesaurus were disabled.","Totale di %1 thesaurus sono stati disabilitati."
"Please select thesaurus to enable.","Si prega di selezionare il thesaurus da abilitare."
"Total of %1 thesaurus were enabled.","Totale di %1 thesaurus sono stati abilitati."
"Thesaurus (global settings)","Thesaurus (impostazioni globali)"
"Cache settings","Impostazioni cache"
"Always cache thesaurus application results","Cache sempre i risultati dell'applicazione thesaurus"
"Set this to ""No"" to conditionally cache the results of user search query rewriting by active thesaurus rules. This can be used in peak trafic times to reduce the impact on your cache component with a trade-off of an increased volume of analysis requests sent to Elasticsearch/Opensearch and increased CPU usage.","Impostare questo su ""No"" per nascondere condizionalmente i risultati della ricerca degli utenti riscrivendo le regole di thesaurus attive. Questo può essere utilizzato in tempi trafici di picco per ridurre l'impatto sul componente della cache con un trade-off di un aumento del volume di richieste di analisi inviate a Elasticsearch/Opensearch e un maggiore utilizzo della CPU."
"Minimum amount of alternative queries","Quantità minima di query alternative"
"The minimum amount of alternative queries that must be generated for a given original user search for enabling the storage of the results in the cache component. Set this to 1, for instance, to only cache the results when there is at least one alternative query generated by the thesaurus rules. Defaults to 0: cache storage is used even when there is no alternative queries through the thesaurus.","La quantità minima di query alternative che devono essere generate per una data ricerca utente originale per abilitare la memorizzazione dei risultati nel componente cache. Impostare a 1, per esempio, per nascondere solo i risultati quando c'è almeno una query alternativa generata dalle regole del thesaurus. Predefiniti a 0: l'archiviazione della cache viene utilizzata anche quando non ci sono query alternative attraverso il thesaurus."
