"Save Config","Salva Configurazione"
"An integer between greater or equal than 0. See doc <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>here</a> for more information.","Un intero tra maggiore o uguale a 0. Vedere doc <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>qui</a> per maggiori informazioni."
"Max Expansion","Espansione Massima"
"Phonetic Search Configuration","Configurazione Ricerca Fonetica"
"Enable Phonetic Search","Abilita Ricerca Fonetica"
"Require <a href='https://github.com/elastic/elasticsearch-analysis-phonetic'>Phonetic analysis</a> plugin installation.","Richiede l'installazione del plugin <a href='https://github.com/elastic/elasticsearch-analysis-phonetic'>Phonetic analysis</a>."
"ElasticSuite","ElasticSuite"
"Search Relevance","Rilevanza Ricerca"
"Base Settings","Impostazioni Base"
"Elasticsearch Client","Elasticsearch Client"
"Elasticsearch Servers List","Elasticsearch Lista Server"
"List of servers in [host]:[port] format separated by a comma (e.g. : ""es-node1.fqdn:9200, es-node2.fqdn:9200"")","Elenco dei server in formato [host]:[port] separati da una virgola (ad es. : ""es-node1.fqdn:9200, es-node2.fqdn:9200"")"
"Use HTTPS","Usa HTTPS"
"Select yes if you want to connect to your Elasticsearch server over HTTPS.","Selezionare sì se si desidera connettersi al server Elasticsearch tramite HTTPS."
"Enable basic HTTP authentication","Abilita autenticazione HTTP di base"
"Enable this option when your Elasticsearch server use basic HTTP authentication.","Abilita questa opzione quando il tuo server Elasticsearch utilizza l'autenticazione HTTP di base."
"Basic HTTP authentication user","Utente di autenticazione HTTP di base"
"Basic HTTP authentication password","Password di autenticazione HTTP di base"
"Enable Debug Mode","Abilita Modalità Debug"
"When enabled the module will produce logs through Magento logging system.","Quando abilitato, il modulo produrrà log tramite il sistema di registrazione Magento."
"Enable logging of requests that produce errors","Abilita la registrazione delle richieste che producono errori"
"This is an alternative to the debug mode for production environments. If enabled, even when the debug mode is disabled, the body of search requests that produce an error will be logged. If disabled, only the error message/exception message will be logged (legacy behavior). A log rotation system on the var/log/system.log file is advised if enabled.","Questa è un'alternativa alla modalità debug per gli ambienti di produzione. Se abilitata, anche quando la modalità debug è disabilitata, verrà registrato il corpo delle richieste di ricerca che producono un errore. Se disabilitato, verrà registrato solo il messaggio di errore/eccezione (comportamento legacy). Se abilitato, verrà consigliato un sistema di rotazione dei log nel file var/log/system.log."
"Server Connection Timeout","Timeout Connessione Server"
"In seconds.","In secondi."
"Indices Settings","Impostazioni Indici"
"Indices Alias Name","Nome Alias Indici"
"Indices Name Pattern","Motivo Nome Indici"
"Number of Shards per Index","Numero di frammenti per indice"
"Number of Replicas per Index","Numero di repliche per indice"
"Autocomplete","Completamento Automatico"
"Popular Term Autocomplete","Termine Popolare Completamento Automatico"
"Max Size","Max Size"
"Maximum number of popular search terms to display in autocomplete results.","Numero massimo di termini di ricerca popolari da visualizzare nei risultati di completamento automatico."
"Default Config","Default Config"
"Search terms","Termini di ricerca"
"Footer Settings","Impostazioni Del Footer"
"Display ElasticSuite link","Visualizza collegamento ElasticSuite"
"Select Yes if you want to display an ElasticSuite copyright link in the footer.","Selezionare Sì se si desidera visualizzare un link ElasticSuite copyright nel piè di pagina."
"Search engine powered by %1","Motore di ricerca alimentato da %1"
"Miscellaneous","Varie"
"The value should be different to zero.","Il valore deve essere diverso da zero."
"Span Match Configuration","Configurazione Partita Ampiezza"
"Enable Boost on Span Match","Abilita Boost alla partita di calibrazione"
"Span Match Boost Value","Valore Potenziamento Partita Span"
"Number of words to match at the beginning of the string","Numero di parole da corrispondere all'inizio della stringa"
"Exact Match Configuration","Configurazione Corrispondenza Esatta"
"[Experimental] Use reference analyzer in exact matching filter query","[Experimental] Utilizzare l'analizzatore di riferimento nella query di filtri esatta corrispondente"
"Experimental: Instead of the 'sku' field, use the 'reference' collector field which contains all searchable fields using the 'reference' analyzer when building the exact/most exact matching filter query. Useful for sku/reference matching.","Sperimentale: Invece del campo 'sku', usare il campo 'reference' del collettore che contiene tutti i campi ricercabili usando l'analizzatore 'reference' quando si costruisce la query di filtri esatta/più esatta corrispondente. Utile per abbinamento sku/riferimento."
"Term Vectors Configuration","Configurazione Term Vectors"
"[Experimental] Use all tokens from term vectors","[Experimental] Usa tutti i token dai vettori di termine"
"Experimental: Take into account all tokens from the term vectors response, instead of one token per position. Useful for sku/reference matching.","Sperimentale: Prendi in considerazione tutti i token dal termine risposta vettori, invece di un token per posizione. Utile per la corrispondenza sku/riferimento."
"[Experimental] Use reference analyzer in term vectors","[Experimental] Utilizzare l'analizzatore di riferimento nei vettori a termine"
"Experimental: Include the 'reference' collector field which contains all searchable fields using the 'reference' analyzer when performing the term vectors request. Useful for sku/reference matching.","Sperimentale: Includi il campo 'referenza' che contiene tutti i campi ricercabili usando l'analizzatore 'referenza' quando esegui la richiesta di vettori di termine. Utile per l'incontro sku/riferimento."
"[Experimental] Use edge ngram analyzer in term vectors","[Experimental] Utilizzare l'analizzatore ngrammo di bordo nei vettori a termine"
"Experimental: Include the 'edge_ngram' collector field which contains all searchable fields using an analyzer containing an edge ngram component (like 'standard_edge_ngram') when performing the term vectors request. Useful for triggering exact matching on partial search terms that are only present in fields using an edge ngram component.","Sperimentale: Includi il campo del collettore 'edge_ngram' che contiene tutti i campi ricercabili usando un analizzatore contenente un componente edge ngram (come 'standard_edge_ngram') quando esegui la richiesta dei vettori di termine. Utile per attivare la corrispondenza esatta su termini di ricerca parziale che sono presenti solo in campi utilizzando un componente ngram bordo."
"[Experimental] Use default analyzer in exact matching filter query","[Experimental] Usa l'analizzatore predefinito nella query di filtro esatta corrispondente"
"Experimental: Use the default analyzer of each field instead of the 'standard' analyzer for exact matching. Eg : for sku, it will try to match on 'sku.reference' field. If a field is using 'standard_edge_ngram' analyzer, it will try to match on 'field.standard_edge_ngram'. Useful for partial matching, or matching on beginning of words.","Sperimentale: utilizzare l'analizzatore predefinito di ogni campo invece dell'analizzatore standard per l'esatta corrispondenza. Eg : per sku, cercherà di abbinare sul campo 'sku.reference'. Se un campo sta usando l'analizzatore 'standard_edge_ngram', proverà a corrispondere su 'field.standard_edge_ngram'. Utile per la corrispondenza parziale, o per la corrispondenza all'inizio delle parole."
"Minimum Score Configuration","Configurazione Punteggio Minimo"
"Use Min Score","Usa Punteggio Minimo"
"Min Score Value","Valore Punteggio Minimo"
"An integer greater than 0. Documents with a score lower than <code class=""literal"">min_score</code> are not included in the search results.","Un numero intero maggiore di 0. I documenti con un punteggio inferiore a <code class=""literal"">min_score</code> non sono inclusi nei risultati di ricerca."
"[Experimental] Enable single term custom boost values","[Experimental] Abilita valori di amplificazione personalizzati a singolo termine"
"Experimental: By default, in an exact match query, when a single term is searched, the phrase match boost value (defaults to 10) is used to both a) boost matches in the 'whitespace' version of searchable attributes/fields, in addition of their own search weight and b) apply a double boost (so defaults to 20) on matches in the 'sortable' version of searchable+sortable attributes/fields, in addition of their own search weight. This puts a huge emphasis on accurate ""exactly as the user typed it"" matches compared to possible singular/plural/conjugated verbs variations. Enable this setting to allow you to choose alternative boost values to use in each case.","Sperimentale: Per impostazione predefinita, in una domanda di corrispondenza esatta, quando viene cercato un singolo termine, il valore di aumento della corrispondenza della frase (predefinito a 10) è usato per entrambe le corrispondenze a) boost nella versione 'spazi bianchi' degli attributi/campi ricercabili, in aggiunta al proprio peso di ricerca e b) applicare un doppio impulso (quindi predefinito a 20) sulle corrispondenze nella versione 'ordinabile' di attributi/campi ricercabili + ordinabili, oltre al proprio peso di ricerca. Questo mette un'enorme enfasi su ""esattamente come l'utente ha digitato le corrispondenze"" accurate rispetto alle possibili variazioni singolari/plurali/coniugati verbi. Abilita questa impostazione per consentire di scegliere valori di spinta alternativi da utilizzare in ogni caso."
"[Experimental] Single term phrase match boost value","[Experimental] Il valore di amplificazione della frase a singolo termine corrisponde"
"Experimental: When a single term is searched, a 'whitespace' (instead of 'shingle') part of the exact match query combines the attribute/field search weight with the phrase match boost value (defaults to 10). So for instance, the 'whitespace' version of a product 'name' attribute with a search weight of 5 would be boosted by 50. You can lower that boost value to reduce the scoring gaps between 'standard' exact matches and 'whitespace' exact matches.","Sperimentale: Quando viene cercato un singolo termine, una parte 'whitespace' (invece di 'shingle') della domanda esatta combina il peso di ricerca attributo/campo con il valore di incremento della corrispondenza frase (valore predefinito a 10). Così, ad esempio, la versione 'whitespace' di un attributo 'name' prodotto con un peso di ricerca di 5 sarebbe aumentata di 50. È possibile abbassare il valore di incremento per ridurre gli intervalli di punteggio tra le corrispondenze esatte 'standard' e 'spazi bianchi' corrispondenze esatte."
"[Experimental] Single term sortable matches boost value","[Experimental] Singolo termine sortable match boost value"
"Experimental: The 'sortable' part of the exact match query combines the attribute/field search weight with twice the phrase match boost value (so defaults to 20). So for instance, the 'sortable' version of a product 'name' attribute with a search weight of 5 would be boosted by 100. You can lower that boost value to reduce the scoring gaps between 'standard' exact matches and 'sortable' exact matches.","Sperimentale: la parte 'ordinabile' della domanda esatta combina il peso di ricerca attributo/campo con il doppio del valore di aumento della corrispondenza frase (quindi il valore predefinito è 20). Così, ad esempio, la versione 'ordinabile' di un attributo 'nome' prodotto con un peso di ricerca di 5 sarebbe aumentata di 100. Puoi abbassare il valore di incremento per ridurre gli intervalli di punteggio tra le corrispondenze esatte 'standard' e le corrispondenze esatte 'ordinabili'."
"Use default Minimum Should Match","Usa la corrispondenza minima predefinita"
"When set to 'yes', the fuzzy queries will use the default value for the Minimum Should Match, defined in Relevance Configuration > Fulltext Base Settings > Minimum Should Match.","Quando impostato a 'sì', le query sfocate useranno il valore predefinito per il minimo dovrebbe corrispondere, definito in Configurazione Rilevanza > Impostazioni base testo completo > Corrispondenza minima."
"Add custom settings","Aggiungi impostazioni personalizzate"
"Index type","Tipo di indice"
"Number of Shards","Numero di frammenti"
"Number of Replicas","Numero di repliche"
"Custom settings per Index","Impostazioni personalizzate per indice"
"Indices and fields configuration, redundant computations (queries spellchecking, synonyms).","Configurazione degli indici e dei campi, calcolo ridondante (controllo ortografico, sinonimi)."
"ver. %1","ver. %1"
"(on %1 ver. %2)","(su %1 ver. %2)"
"Analyzers Settings","Impostazioni Analizzatori"
"Reference analyzer configuration","Configurazione dell'analizzatore di riferimento"
"Remove leading zeroes of numeric parts","Rimuovere gli zero iniziali delle parti numeriche"
"If enabled, when indexing a reference like ""VT0009"", it will be as if ""VT9"" was indexed instead (leading to independant elements ""VT"", ""9"" and ""VT9"" in the search index). This will allow someone searching for ""vt9"" or ""vt 9"" to find the product with the exact ""VT0009"" sku.","Se abilitato, quando si indicizza un riferimento come ""VT0009"", sarà come se ""VT9"" fosse invece indicizzato (portando a elementi indipendenti ""VT"", ""9"" e ""VT9"" nell'indice di ricerca). Questo permetterà a qualcuno di cercare ""vt9"" o ""vt 9"" per trovare il prodotto con l'esatto ""VT0009"" sku."
"Remove trailing zeroes of numeric parts","Rimuovi gli zero finali delle parti numeriche"
"If enabled, when indexing a reference like ""DC3000"", it will be as if ""DC3"" was indexed instead (leading to independant elements ""DC"", ""3"" and ""DC3"" in the search index). This will allow someone searching for ""dc3"" or ""dc 3"" to find the product with the exact ""DC3000"" sku.","Se abilitato, quando si indicizza un riferimento come ""DC3000"", sarà come se ""DC3"" fosse invece indicizzato (portando a elementi indipendenti ""DC"", ""3"" e ""DC3"" nell'indice di ricerca). Questo permetterà a qualcuno di cercare ""dc3"" o ""dc 3"" per trovare il prodotto con l'esatto ""DC3000"" sku."
"Reduce series of contiguous zeroes in numeric parts","Riduce serie di zero contigui nelle parti numeriche"
"If enabled, when indexing a reference like ""PL20004"", it will be as if ""PL204"" was indexed instead (leading to independant elements ""PL"", ""204"" and ""PL204"" in the search index). This will allow someone searching for ""pl204"", ""pl 204"", ""pl2004"" or ""pl 2004"" to find the product with the exact ""PL2004"" sku.","Se abilitato, quando si indicizza un riferimento come ""PL20004"", sarà come se ""PL204"" fosse invece indicizzato (portando a elementi indipendenti ""PL"", ""204"" e ""PL204"" nell'indice di ricerca). Questo permetterà a qualcuno di cercare ""pl204"", ""pl 204"", ""pl2004"" o ""pl 2004"" per trovare il prodotto con l'esatto ""PL2004"" sku."
"Language stemmer configuration","Configurazione stemmer lingua"
"Settings available at the store view scope only.","Impostazioni disponibili solo nel campo di applicazione della vista negozio."
"The ability to select an alternative language stemmer is only available at the store view scope.","La possibilità di selezionare uno stemmer linguistico alternativo è disponibile solo nel campo di visualizzazione del negozio."
"Use default stemmer","Usa stemmer predefinito"
"Use the default language stemmer as defined in 'elasticsuite_analysis.xml' file for this store language (as defined by the store locale). If set to No, you'll be able to select a different stemmer for languages that have multiple possible stemmers (Dutch, English, Finnish, French, Galician, German, Hungarian, Italian, Norwegian, Portuguese, Russian, Spanish, Swedish).","Usa lo stemmer di lingua predefinito come definito nel file 'elasticsuite_analysis.xml' per questa lingua del negozio (come definito dal locale del negozio). Se impostato su No, sarai in grado di selezionare un altro stemmer per le lingue che hanno più stemmers possibili (Dutch, Inglese, Finlandese, Francese, Galiziano, Tedesco, Ungherese, Italiano, Norvegese, Portoghese, Russo, Spagnolo, Svedese)."
"Custom stemmer","Custom stemmer"
"In the list ""[default]"" indicates the stemmer used by Elasticsuite by default for the language, while ""[recommended]"" indicates the stemmer is the one or one of those recommended for that language by Elasticsearch in its <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/analysis-stemmer-tokenfilter.html#analysis-stemmer-tokenfilter-configure-parms' target='_blank'>online documentation</a>. Those can differ, hence this configuration parameter.","Nell'elenco ""[default]"" indica lo stemmer usato da Elasticsuite per impostazione predefinita per la lingua, mentre ""[recommended]"" indica lo stemmer è quello o uno di quelli raccomandati per quella lingua da Elasticsearch nella sua documentazione <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/analysis-stemmer-tokenfilter.html#analysis-stemmer-tokenfilter-configure-parms' target='_blank'>online</a>. Quelli possono differire, quindi questo parametro di configurazione."
"Please select a stemmer for the store","Seleziona uno stemmer per il negozio"
"Time for an index to be considered Ghost (in seconds)","Tempo per considerare un indice fantasma (in secondi)"
"Elasticsuite derelict indices resulting from a failed full reindex are considered ghost after this amount of time (in seconds) has elapsed since their creation. You can reduce this amount of time to speed up ghost indices cleanup, but take care to add a safety on top of the maximum reindexing duration of the more complex index of your platform (usually a catalog_product/product search index). Defaults to 172,800 seconds (2 days), minimum value: 3600 (1 hour).","Gli indici derelict di Elasticsuite derivanti da un fallito reindex completo sono considerati fantasmi dopo che questa quantità di tempo (in secondi) è trascorso dalla loro creazione. Puoi ridurre questa quantità di tempo per velocizzare la pulizia degli indici fantasma, ma fai attenzione ad aggiungere una sicurezza alla durata massima di reindicizzazione dell'indice più complesso della tua piattaforma (di solito un indice catalog_product/product search index). Predefinito a 172.800 secondi (2 giorni), valore minimo: 3600 (1 ora)."
"passed","passato"
"failed","fallito"
"You have <strong>%1 health checks</strong> in <strong>Failed</strong> state. We invite you to head to the <a href=""%2""><strong>Elasticsuite Healthcheck</strong></a> page to get more details and to see how to fix them.","Hai un <strong>%1 controlli di salute</strong> in <strong>non riuscito</strong> stato. Ti invitiamo a dirigerti alla pagina <a href=""%2""><strong>Elasticsuite Healthcheck</strong></a> per ottenere maggiori dettagli e vedere come risolverli."
"Advanced Settings","Impostazioni Avanzate"
"Using popular search terms for autocomplete search of products and categories","Utilizzando termini di ricerca popolari per la ricerca automatica di prodotti e categorie"
"Historically, both for leveraging user behavioral patterns and performance purposes, Elasticsuite relies on the Popular Search Terms Autocomplete results to complete and extend the search terms submitted by the user before searching for matching products or categories.<br />For instance, if a user types ""comp"" in the search box and the suggested popular search terms are ""computer"", ""peach computer"", ""computer for kids"", then categories and products matching either one of those three search terms will be shown and the original ""comp"" search term is discarded.<br />On the other hand, if no popular search term is found, then Elasticsuite will try finding products and categories matching only ""comp"", which might not provide any results unless some attributes have built-in autocompletion capability (by using the ""standard_edge_ngram"" as their search analyzer).<br />The settings below provide you with the ability to have more control over that ""extension"" mechanism: whether to disable it entirely, limit its extend, forcing the original search term to always be requested, etc.","Storicamente, sia per sfruttare i modelli comportamentali degli utenti e le prestazioni, Elasticsuite si basa sui termini di ricerca popolari Risultati completati automaticamente per completare ed estendere i termini di ricerca inviati dall'utente prima di cercare prodotti o categorie corrispondenti.<br />Per esempio, se un utente digita ""comp"" nella casella di ricerca e i termini di ricerca popolari suggeriti sono ""computer"", ""pesca computer"", ""computer per bambini"", poi le categorie e i prodotti che corrispondono ad uno di questi tre termini di ricerca verranno mostrati e il termine di ricerca originale ""comp"" viene scartato.<br />D'altra parte, se non si trova un termine di ricerca popolare, Elasticsuite cercherà di trovare prodotti e categorie corrispondenti solo ""comp"", che potrebbe non fornire alcun risultato a meno che alcuni attributi non abbiano una funzionalità di autocompletamento integrata (usando il ""standard_edge_ngram"" come loro analizzatore di ricerca).<br />Le impostazioni qui sotto forniscono la possibilità di avere più controllo su quel meccanismo di ""estensione"": se disabilitarlo completamente, limita la sua estensione, costringendo il termine di ricerca originale ad essere sempre richiesto, ecc."
"Use suggested search terms to fetch results","Utilizzare i termini di ricerca suggeriti per recuperare i risultati"
"Default: Yes (legacy behavior). When set to ""Yes"", products and categories autocomplete will use the search terms suggested in the popular term autocomplete. When set to ""No"", products and categories autocomplete results will be based solely on the original user raw search term, which might be a partial word being typed (eg ""comp"" for ""computer"").","Predefinito: Sì (comportamento legacy). Quando impostato a ""Sì"", i prodotti e le categorie completamento automatico utilizzeranno i termini di ricerca suggeriti nel termine popolare completamento automatico. Quando impostato su ""No"", i prodotti e le categorie completano automaticamente i risultati saranno basati esclusivamente sul termine di ricerca grezzo dell'utente, che potrebbe essere una parola parziale da digitare (ad esempio ""comp"" per ""computer"")."
"Always use the user raw input for suggestions","Usa sempre l'input grezzo dell'utente per i suggerimenti"
"Default: No (legacy behavior). When set to ""No"", the user raw search term, which might be a partial word being typed, will only be used to fetch suggestions if no matching popular terms were found. When set to ""Yes"", it will always be used, whether matching popular terms were found or not. Eg if set to ""Yes"" : when the user is typing ""comp"" and the popular search term ""computer"" is suggested, then products or categories matching either ""comp"" or ""computer"" will be shown.","Predefinito: No (comportamento legacy). Quando impostato a ""No"", il termine di ricerca grezzo dell'utente, che potrebbe essere una parola parziale da digitare, sarà usato solo per recuperare i suggerimenti se non sono stati trovati termini popolari corrispondenti. Quando impostato a ""Sì"", sarà sempre utilizzato, se i termini popolari corrispondenti sono stati trovati o meno. Eg se impostato a ""Sì"": quando l'utente sta digitando ""comp"" e il termine di ricerca popolare ""computer"" è suggerito, poi verranno visualizzati i prodotti o le categorie corrispondenti a ""comp"" o ""computer""."
"Limit the amount of suggested search terms used","Limita la quantità di termini di ricerca suggeriti utilizzati"
"Default: No (legacy behavior). When set to ""No"", all the suggested popular search terms will be used for the products and categories autocomplete. When set to ""Yes"", you will be able to define the maximum number of suggested search terms to use below.","Predefinito: No (comportamento legacy). Quando impostato a ""No"", tutti i termini di ricerca popolari suggeriti saranno usati per i prodotti e le categorie di completamento automatico. Se impostato a ""Sì"", potrai definire il numero massimo di termini di ricerca suggeriti da usare qui sotto."
"Maximum number of popular search terms to use","Numero massimo di termini di ricerca popolari da usare"
"The maximum number of suggested search terms that will be used for fetching results in the products and categories autocomplete boxes. Having a value greater than the ""Max Size"" defined in the ""Popular Term Autocomplete"" section above has no effect.","Il numero massimo di termini di ricerca suggeriti che saranno utilizzati per il recupero dei risultati nei prodotti e categorie caselle di completamento automatico. Avere un valore maggiore della ""Dimensione massima"" definita nella sezione ""Completamento automatico termine popolare"" di cui sopra non ha effetto."
"No extension for actual popular search terms","Nessuna estensione per i termini di ricerca popolari"
"Default: No. When set to ""Yes"", the extension mechanism will be discarded when the search term entered by the user is amongst the popular terms suggestions. Eg : When the user has finished typing ""computer"", if the list of suggested search terms is (""computer"", ""peach computer"", ""computer for kids""), only ""computer"" will be taken into account for the products and categories autocomplete.","Predefinito: No. Quando impostato a ""Sì"", il meccanismo di estensione verrà scartato quando il termine di ricerca inserito dall'utente è tra i suggerimenti termini popolari. Eg : Quando l'utente ha finito di digitare ""computer"", se l'elenco dei termini di ricerca suggeriti è (""computer"", ""computer di pesca"", ""computer per bambini""), solo ""computer"" sarà preso in considerazione per i prodotti e le categorie di completamento automatico."
"All additional Elasticsuite packages are in the same version (%1) as the Elasticsuite core package (smile/elasticsuite).","Tutti i pacchetti Elasticsuite aggiuntivi sono nella stessa versione (%1) del pacchetto Elasticsuite core (smile/elasticsuite)."
"Some additional Elasticsuite packages are <strong>not in the same version</strong> as the Elasticsuite core package <strong>smile/elasticsuite</strong> which is in version <strong>%1</strong>.","Alcuni pacchetti Elasticsuite aggiuntivi sono <strong>non nella stessa versione</strong> del pacchetto Elasticsuite core <strong>smile/elasticsuite</strong> che è nella versione <strong>%1</strong>."
"You should <strong>update</strong> either the core or those additional <strong>Elasticsuite packages through composer</strong> so they share the exact same version.","Dovresti aggiornare <strong></strong> il core o i pacchetti <strong>Elasticsuite aggiuntivi tramite compositore</strong> in modo che condividano esattamente la stessa versione."
"Those composer packages are: %1","Quei pacchetti di compositore sono: %1"
"All the required Hÿva/Elasticsuite compatibility modules (%1) are correctly installed.","Tutti i moduli di compatibilità Hy<unk> va/Elasticsuite richiesti (%1) sono installati correttamente."
"Your site is not using the Hÿva theme, there are no specific requirements to fulfill.","Il tuo sito non utilizza il tema Hy<unk> va, non ci sono requisiti specifici da soddisfare."
"Your site uses the Hÿva theme through package <strong>%1</strong>. To work properly with Hÿva, Elasticsuite requires the installation of additional <strong>compatibility modules (%2)</strong>.","Il tuo sito utilizza il tema Hy<unk> va attraverso il pacchetto <strong>%1</strong>. Per funzionare correttamente con Hy<unk> va, Elasticsuite richiede l'installazione di ulteriori moduli di compatibilità <strong>(%2)</strong>."
"The compatibility modules <strong>%1 are missing</strong>. Please install them through composer.","I moduli di compatibilità <strong>%1 sono mancanti</strong>. Si prega di installarli tramite compositore."
"The compatibility module <strong>%1 is missing</strong>. Please install it through composer.","Il modulo di compatibilità <strong>%1 è mancante</strong>. Si prega di installarlo tramite compositore."
"Magento is correctly configured to use Elasticsuite as its search engine.","Magento è configurato correttamente per utilizzare Elasticsuite come motore di ricerca."
"Magento is not configured to use Elasticsuite as its search engine.","Magento non è configurato per usare Elasticsuite come motore di ricerca."
"Please click <a href=""%1""><strong>here</strong></a> to head to the <strong>Catalog Search Configuration</strong> and select ElasticSuite in the <strong>Search Engine</strong> field.","Fare clic su <a href=""%1""><strong>qui</strong></a> per andare alla configurazione di ricerca del catalogo <strong></strong> e selezionare ElasticSuite nel campo <strong>Motore di ricerca</strong>."
