"Save Config","Guardar configuración"
"An integer between greater or equal than 0. See doc <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>here</a> for more information.","Un entero entre mayor o igual que 0. Vea el documento <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>aquí</a> para más información."
"Max Expansion","Expansión máxima"
"Phonetic Search Configuration","Configuración de búsqueda fonética"
"Enable Phonetic Search","Habilitar búsqueda fonética"
"Require <a href='https://github.com/elastic/elasticsearch-analysis-phonetic'>Phonetic analysis</a> plugin installation.","Requiere una instalación de complementos <a href='https://github.com/elastic/elasticsearch-analysis-phonetic'>Análisis fonético</a>."
"ElasticSuite","ElasticSuite"
"Search Relevance","Relevancia de búsqueda"
"Base Settings","Ajustes Base"
"Elasticsearch Client","Cliente Elasticsearch"
"Elasticsearch Servers List","Lista de servidores Elasticsearch"
"List of servers in [host]:[port] format separated by a comma (e.g. : ""es-node1.fqdn:9200, es-node2.fqdn:9200"")","Lista de servidores en formato [host]:[port] separados por una coma (por ejemplo: ""es-node1.fqdn:9200, es-node2.fqdn:9200"")"
"Use HTTPS","Usar HTTPS"
"Select yes if you want to connect to your Elasticsearch server over HTTPS.","Seleccione sí si desea conectarse a su servidor Elasticsearch a través de HTTPS."
"Enable basic HTTP authentication","Habilitar autenticación HTTP básica"
"Enable this option when your Elasticsearch server use basic HTTP authentication.","Active esta opción cuando su servidor Elasticsearch use autenticación HTTP básica."
"Basic HTTP authentication user","Usuario básico de autenticación HTTP"
"Basic HTTP authentication password","Contraseña básica de autenticación HTTP"
"Enable Debug Mode","Activar modo de depuración"
"When enabled the module will produce logs through Magento logging system.","Cuando esté habilitado, el módulo producirá registros a través del sistema de registro de Magento."
"Enable logging of requests that produce errors","Habilitar el registro de peticiones que producen errores"
"This is an alternative to the debug mode for production environments. If enabled, even when the debug mode is disabled, the body of search requests that produce an error will be logged. If disabled, only the error message/exception message will be logged (legacy behavior). A log rotation system on the var/log/system.log file is advised if enabled.","Esta es una alternativa al modo de depuración para entornos de producción. Si está activado, incluso cuando el modo de depuración está desactivado, el cuerpo de peticiones de búsqueda que producen un error se registrará. Si está deshabilitado, sólo se registrará el mensaje de error/excepción (comportamiento heredado). Se avisa a un sistema de rotación del registro en el archivo var/log/system.log si está activado."
"Server Connection Timeout","Tiempo de espera de conexión del servidor"
"In seconds.","En segundos."
"Indices Settings","Ajustes de indicios"
"Indices Alias Name","Nombre del alias"
"Indices Name Pattern","Patrón de nombres de indicios"
"Number of Shards per Index","Número de fragmentos por índice"
"Number of Replicas per Index","Número de réplicas por índice"
"Autocomplete","Autocompletar"
"Popular Term Autocomplete","Término popular Autocompletar"
"Max Size","Max Size"
"Maximum number of popular search terms to display in autocomplete results.","Número máximo de términos de búsqueda populares a mostrar en resultados de autocompletar."
"Default Config","Default Config"
"Search terms","Buscar términos"
"Footer Settings","Ajustes de pie de página"
"Display ElasticSuite link","Mostrar enlace ElasticSuite"
"Select Yes if you want to display an ElasticSuite copyright link in the footer.","Seleccione Sí si desea mostrar un enlace de derechos de autor de ElasticSuite en el pie de página."
"Search engine powered by %1","Motor de búsqueda desarrollado por %1"
"Miscellaneous","Miscellano"
"The value should be different to zero.","El valor debe ser diferente a cero."
"Span Match Configuration","Configuración de partida de Span"
"Enable Boost on Span Match","Activar Optimizar en la partida de Span"
"Span Match Boost Value","Aumento de la partida de Span"
"Number of words to match at the beginning of the string","Número de palabras que coinciden al principio de la cadena"
"Exact Match Configuration","Configuración exacta de la partida"
"[Experimental] Use reference analyzer in exact matching filter query","[Experimental] Usar analizador de referencias en la consulta de filtro de coincidencia exacta"
"Experimental: Instead of the 'sku' field, use the 'reference' collector field which contains all searchable fields using the 'reference' analyzer when building the exact/most exact matching filter query. Useful for sku/reference matching.","Experimental: En lugar del campo 'sku', usar el campo del colector 'referencia' que contiene todos los campos buscables usando el analizador de 'referencia' cuando se construye la consulta exacta/más exacta del filtro de coincidencia. Útil para la coincidencia sku/referencia."
"Term Vectors Configuration","Configuración de vectores de término"
"[Experimental] Use all tokens from term vectors","[Experimental] Usa todos los tokens de vectores a término"
"Experimental: Take into account all tokens from the term vectors response, instead of one token per position. Useful for sku/reference matching.","Experimental: Tener en cuenta todos los tokens del término respuesta de vectores, en lugar de un token por posición. Útil para la coincidencia sku/referencia."
"[Experimental] Use reference analyzer in term vectors","[Experimental] Usar analizador de referencias en vectores a término"
"Experimental: Include the 'reference' collector field which contains all searchable fields using the 'reference' analyzer when performing the term vectors request. Useful for sku/reference matching.","Experimental: Incluye el campo de coleccionista 'referencia' que contiene todos los campos buscables usando el analizador de 'referencia' al realizar la solicitud de vectores de términos. Útil para la coincidencia sku/referencia."
"[Experimental] Use edge ngram analyzer in term vectors","[Experimental] Usar analizador de ngramas de borde en vectores de término"
"Experimental: Include the 'edge_ngram' collector field which contains all searchable fields using an analyzer containing an edge ngram component (like 'standard_edge_ngram') when performing the term vectors request. Useful for triggering exact matching on partial search terms that are only present in fields using an edge ngram component.","Experimental: Incluye el campo de coleccionista 'edge_ngram' que contiene todos los campos buscables usando un analizador que contiene un componente ngrama de borde (como 'standard_edge_ngram') al realizar la solicitud de vectores de términos. Útil para activar la coincidencia exacta en términos de búsqueda parcial que sólo están presentes en campos usando un componente de ngrama de borde."
"[Experimental] Use default analyzer in exact matching filter query","[Experimental] Use default analyzer in exact matching filter query"
"Experimental: Use the default analyzer of each field instead of the 'standard' analyzer for exact matching. Eg : for sku, it will try to match on 'sku.reference' field. If a field is using 'standard_edge_ngram' analyzer, it will try to match on 'field.standard_edge_ngram'. Useful for partial matching, or matching on beginning of words.","Experimental: Utilice el analizador por defecto de cada campo en lugar del analizador 'estándar' para una coincidencia exacta. Eg : para sku, intentará coincidir en el campo 'sku.reference'. Si un campo está usando el analizador 'standard_edge_ngram', intentará coincidir con 'field.standard_edge_ngram'. Útil para coincidencia parcial o coincidencia con el inicio de palabras."
"Minimum Score Configuration","Configuración de puntuación mínima"
"Use Min Score","Usar puntuación mínima"
"Min Score Value","Valor Mínimo de puntuación"
"An integer greater than 0. Documents with a score lower than <code class=""literal"">min_score</code> are not included in the search results.","Un entero mayor que 0. Los documentos con una puntuación menor que <code class=""literal"">min_score</code> no están incluidos en los resultados de búsqueda."
"[Experimental] Enable single term custom boost values","[Experimental] Habilitar valores de optimización personalizados a un solo plazo"
"Experimental: By default, in an exact match query, when a single term is searched, the phrase match boost value (defaults to 10) is used to both a) boost matches in the 'whitespace' version of searchable attributes/fields, in addition of their own search weight and b) apply a double boost (so defaults to 20) on matches in the 'sortable' version of searchable+sortable attributes/fields, in addition of their own search weight. This puts a huge emphasis on accurate ""exactly as the user typed it"" matches compared to possible singular/plural/conjugated verbs variations. Enable this setting to allow you to choose alternative boost values to use in each case.","Experimental: Por defecto, en una consulta de coincidencia exacta, cuando se busca un solo término, la frase que coincide con valor de incremento (por defecto a 10) se utiliza para ambas a) coincide con la versión de 'espacio en blanco' de atributos o campos buscables, además de su propio peso de búsqueda y b) aplicar un doble potenciador (por lo que el valor por defecto es 20) en las coincidencias en la versión 'sortable' de los atributos/campos buscables, además de su propio peso de búsqueda. Esto pone un gran énfasis en la precisión de ""exactamente como el usuario lo escribió"" coincidencias comparadas con posibles variaciones de verbos singulares/plurales/conjugados. Active esta opción para permitirle elegir valores de optimización alternativos a usar en cada caso."
"[Experimental] Single term phrase match boost value","[Experimental] Single term phrase match boost value"
"Experimental: When a single term is searched, a 'whitespace' (instead of 'shingle') part of the exact match query combines the attribute/field search weight with the phrase match boost value (defaults to 10). So for instance, the 'whitespace' version of a product 'name' attribute with a search weight of 5 would be boosted by 50. You can lower that boost value to reduce the scoring gaps between 'standard' exact matches and 'whitespace' exact matches.","Experimental: Cuando se busca un solo término, una parte de 'espacio en blanco' (en lugar de 'shingle') de la consulta de coincidencia exacta combina el peso de búsqueda de atributo/campo con el valor de optimización de la frase (por defecto a 10). Así que, por ejemplo, la versión 'espacio blanco' de un atributo 'nombre' de producto con un peso de búsqueda de 5 sería optimizada en 50. Puedes bajar ese valor de aumento para reducir las brechas de puntuación entre las coincidencias exactas 'estándar' y las coincidencias exactas 'espacios en blanco'."
"[Experimental] Single term sortable matches boost value","[Experimental] Single term sortable matches boost value"
"Experimental: The 'sortable' part of the exact match query combines the attribute/field search weight with twice the phrase match boost value (so defaults to 20). So for instance, the 'sortable' version of a product 'name' attribute with a search weight of 5 would be boosted by 100. You can lower that boost value to reduce the scoring gaps between 'standard' exact matches and 'sortable' exact matches.","Experimental: La parte 'sortable' de la consulta de coincidencia exacta combina el peso de búsqueda de atributo/campo con el doble del valor de incremento de la frase (por defecto es 20). Así, por ejemplo, la versión 'sortable' de un atributo 'name' de un producto con un peso de búsqueda de 5 se reforzaría en 100. Puedes bajar ese valor de incremento para reducir las brechas de puntuación entre las coincidencias exactas 'estándar' y las coincidencias exactas 'sortable'."
"Use default Minimum Should Match","Usar coincidencia mínima por defecto"
"When set to 'yes', the fuzzy queries will use the default value for the Minimum Should Match, defined in Relevance Configuration > Fulltext Base Settings > Minimum Should Match.","Cuando se establece a 'sí', las consultas difusas usarán el valor por defecto para el mínimo debería coincidir, definida en Configuración de relevancia > Configuración Base de texto completo > Debería coincidir mínimo."
"Add custom settings","Añadir ajustes personalizados"
"Index type","Tipo de índice"
"Number of Shards","Número de fragmentos"
"Number of Replicas","Número de réplicas"
"Custom settings per Index","Ajustes personalizados por índice"
"Indices and fields configuration, redundant computations (queries spellchecking, synonyms).","Indices y configuración de campos, cálculos redundantes (consultas ortográficas, sinónimos)."
"ver. %1","Ver. %1"
"(on %1 ver. %2)","(en %1 ver. %2)"
"Analyzers Settings","Ajustes de analizadores"
"Reference analyzer configuration","Configuración del analizador de referencias"
"Remove leading zeroes of numeric parts","Remueve los ceros iniciales de las partes numéricas"
"If enabled, when indexing a reference like ""VT0009"", it will be as if ""VT9"" was indexed instead (leading to independant elements ""VT"", ""9"" and ""VT9"" in the search index). This will allow someone searching for ""vt9"" or ""vt 9"" to find the product with the exact ""VT0009"" sku.","Si está activado, al indexar una referencia como ""VT0009"", será como si ""VT9"" fuera indexado en su lugar (conduciendo a elementos independientes ""VT"", ""9"" y ""VT9"" en el índice de búsqueda). Esto permitirá que alguien que busque ""vt9"" o ""vt 9"" para encontrar el producto con el sku exacto ""VT0009""."
"Remove trailing zeroes of numeric parts","Quitar ceros finales de partes numéricas"
"If enabled, when indexing a reference like ""DC3000"", it will be as if ""DC3"" was indexed instead (leading to independant elements ""DC"", ""3"" and ""DC3"" in the search index). This will allow someone searching for ""dc3"" or ""dc 3"" to find the product with the exact ""DC3000"" sku.","Si está activado, al indexar una referencia como ""DC3000"", será como si ""DC3"" fuera indexado en su lugar (conduciendo a elementos independientes ""DC"", ""3"" y ""DC3"" en el índice de búsqueda). Esto permitirá que alguien buscando ""dc3"" o ""dc 3"" para encontrar el producto con el sku exacto ""DC3000""."
"Reduce series of contiguous zeroes in numeric parts","Reduce la serie de ceros contiguos en partes numéricas"
"If enabled, when indexing a reference like ""PL20004"", it will be as if ""PL204"" was indexed instead (leading to independant elements ""PL"", ""204"" and ""PL204"" in the search index). This will allow someone searching for ""pl204"", ""pl 204"", ""pl2004"" or ""pl 2004"" to find the product with the exact ""PL2004"" sku.","Si está activado, al indexar una referencia como ""PL20004"", será como si ""PL204"" fuera indexado en su lugar (conduciendo a elementos independientes ""PL"", ""204"" y ""PL204"" en el índice de búsqueda). Esto permitirá que alguien buscando por ""pl204"", ""pl 204"", ""pl2004"" o ""pl 2004"" para encontrar el producto con la piel exacta ""PL2004""."
"Language stemmer configuration","Configuración de stemmer de idioma"
"Settings available at the store view scope only.","Configuración disponible sólo en el ámbito de la vista de la tienda."
"The ability to select an alternative language stemmer is only available at the store view scope.","La capacidad de seleccionar un lenguaje alternativo sólo está disponible en el ámbito de la vista de la tienda."
"Use default stemmer","Usar el stemmer por defecto"
"Use the default language stemmer as defined in 'elasticsuite_analysis.xml' file for this store language (as defined by the store locale). If set to No, you'll be able to select a different stemmer for languages that have multiple possible stemmers (Dutch, English, Finnish, French, Galician, German, Hungarian, Italian, Norwegian, Portuguese, Russian, Spanish, Swedish).","Utilice el stemmer de idioma predeterminado como se define en el archivo 'elasticsuite_analysis.xml' para este idioma de la tienda (como se define por el idioma de la tienda). Si se establece en No, podrás seleccionar un stemmer diferente para idiomas que tienen múltiples posibles stemmers (Dutch, Inglés, finlandés, francés, gallego, alemán, alemán, alquitrán, italiano, noruego, tés, ruso, español, Suecia)."
"Custom stemmer","Custom stemmer"
"In the list ""[default]"" indicates the stemmer used by Elasticsuite by default for the language, while ""[recommended]"" indicates the stemmer is the one or one of those recommended for that language by Elasticsearch in its <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/analysis-stemmer-tokenfilter.html#analysis-stemmer-tokenfilter-configure-parms' target='_blank'>online documentation</a>. Those can differ, hence this configuration parameter.","En la lista ""[default]"" indica el stemmer utilizado por defecto por Elasticsuite para el idioma, mientras que ""[recommended]"" indica que el stemmer es el uno o uno de los recomendados para ese idioma por Elasticsearch en su <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/analysis-stemmer-tokenfilter.html#analysis-stemmer-tokenfilter-configure-parms' target='_blank'>documentación en línea</a>. Estos pueden diferir, por lo tanto este parámetro de configuración."
"Please select a stemmer for the store","Por favor, seleccione un stemmer para la tienda"
"Time for an index to be considered Ghost (in seconds)","Tiempo para que un índice sea considerado fantasma (en segundos)"
"Elasticsuite derelict indices resulting from a failed full reindex are considered ghost after this amount of time (in seconds) has elapsed since their creation. You can reduce this amount of time to speed up ghost indices cleanup, but take care to add a safety on top of the maximum reindexing duration of the more complex index of your platform (usually a catalog_product/product search index). Defaults to 172,800 seconds (2 days), minimum value: 3600 (1 hour).","Los índices de abandono de Elasticsuite resultantes de una reindexación completa fallida se consideran fantasma después de que haya transcurrido esta cantidad de tiempo (en segundos) desde su creación. Puede reducir esta cantidad de tiempo para acelerar la limpieza de los índices fantasma, pero tenga cuidado de añadir una seguridad encima de la duración máxima de reindexación del índice más complejo de su plataforma (normalmente un índice de búsqueda de catalog_product/producto). Por defecto es de 172,800 segundos (2 días), valor mínimo: 3600 (1 hora)."
"passed","pasado"
"failed","falló"
"You have <strong>%1 health checks</strong> in <strong>Failed</strong> state. We invite you to head to the <a href=""%2""><strong>Elasticsuite Healthcheck</strong></a> page to get more details and to see how to fix them.","You have <strong>%1 health checks</strong> in <strong>Failed</strong> state. We invite you to head to the <a href=""%2""><strong>Elasticsuite Healthcheck</strong></a> page to get more details and to see how to fix them."
"Advanced Settings","Configuración Avanzada"
"Using popular search terms for autocomplete search of products and categories","Uso de términos de búsqueda populares para la búsqueda autocompleta de productos y categorías"
"Historically, both for leveraging user behavioral patterns and performance purposes, Elasticsuite relies on the Popular Search Terms Autocomplete results to complete and extend the search terms submitted by the user before searching for matching products or categories.<br />For instance, if a user types ""comp"" in the search box and the suggested popular search terms are ""computer"", ""peach computer"", ""computer for kids"", then categories and products matching either one of those three search terms will be shown and the original ""comp"" search term is discarded.<br />On the other hand, if no popular search term is found, then Elasticsuite will try finding products and categories matching only ""comp"", which might not provide any results unless some attributes have built-in autocompletion capability (by using the ""standard_edge_ngram"" as their search analyzer).<br />The settings below provide you with the ability to have more control over that ""extension"" mechanism: whether to disable it entirely, limit its extend, forcing the original search term to always be requested, etc.","Historically, both for leveraging user behavioral patterns and performance purposes, Elasticsuite relies on the Popular Search Terms Autocomplete results to complete and extend the search terms submitted by the user before searching for matching products or categories.<br />For instance, if a user types ""comp"" in the search box and the suggested popular search terms are ""computer"", ""peach computer"", ""computer for kids"", then categories and products matching either one of those three search terms will be shown and the original ""comp"" search term is discarded.<br />On the other hand, if no popular search term is found, then Elasticsuite will try finding products and categories matching only ""comp"", which might not provide any results unless some attributes have built-in autocompletion capability (by using the ""standard_edge_ngram"" as their search analyzer).<br />The settings below provide you with the ability to have more control over that ""extension"" mechanism: whether to disable it entirely, limit its extend, forcing the original search term to always be requested, etc."
"Use suggested search terms to fetch results","Utilice términos de búsqueda sugeridos para obtener resultados"
"Default: Yes (legacy behavior). When set to ""Yes"", products and categories autocomplete will use the search terms suggested in the popular term autocomplete. When set to ""No"", products and categories autocomplete results will be based solely on the original user raw search term, which might be a partial word being typed (eg ""comp"" for ""computer"").","Por defecto: Sí (comportamiento heredado). Cuando se establece en ""Sí"", los productos y categorías se autocompletan usarán los términos de búsqueda sugeridos en el término popular autocompletado. Cuando se establece en ""No"", los productos y las categorías de autocompletar los resultados se basarán únicamente en el término de búsqueda original del usuario, que podría ser una palabra parcial que se está escribiendo (por ejemplo, ""comp"" para ""computadora"")."
"Always use the user raw input for suggestions","Usar siempre la entrada en bruto del usuario para sugerencias"
"Default: No (legacy behavior). When set to ""No"", the user raw search term, which might be a partial word being typed, will only be used to fetch suggestions if no matching popular terms were found. When set to ""Yes"", it will always be used, whether matching popular terms were found or not. Eg if set to ""Yes"" : when the user is typing ""comp"" and the popular search term ""computer"" is suggested, then products or categories matching either ""comp"" or ""computer"" will be shown.","Predeterminado: No (comportamiento heredado). Cuando se establece en ""No"", el término de búsqueda en bruto del usuario, que podría ser una palabra parcial que se está escribiendo, sólo se utilizará para obtener sugerencias si no se encontraron términos populares coincidentes. Cuando se establece en ""Sí"", siempre se utilizará, si se encontraron o no los términos populares correspondientes. Por ejemplo, si se establece en ""Sí"" : cuando el usuario está escribiendo ""comp"" y se sugiere el término de búsqueda popular ""computadora"", entonces se mostrarán los productos o categorías que coincidan con ""comp"" o ""computadora""."
"Limit the amount of suggested search terms used","Limitar la cantidad de términos de búsqueda sugeridos usados"
"Default: No (legacy behavior). When set to ""No"", all the suggested popular search terms will be used for the products and categories autocomplete. When set to ""Yes"", you will be able to define the maximum number of suggested search terms to use below.","Por defecto: No (comportamiento heredado). Cuando se establece en ""No"", todos los términos de búsqueda popular sugeridos se utilizarán para los productos y categorías autocompletados. Cuando se establece en ""Sí"", podrá definir el número máximo de términos de búsqueda sugeridos a continuación."
"Maximum number of popular search terms to use","Número máximo de términos de búsqueda populares a usar"
"The maximum number of suggested search terms that will be used for fetching results in the products and categories autocomplete boxes. Having a value greater than the ""Max Size"" defined in the ""Popular Term Autocomplete"" section above has no effect.","El número máximo de términos de búsqueda sugeridos que se utilizarán para obtener resultados en los recuadros de autocompletado de productos y categorías. Tener un valor mayor que el ""Tamaño Máximo"" definido en la sección ""Condiciones Populares Autocompletar"" de arriba no tiene efecto."
"No extension for actual popular search terms","Ninguna extensión para los términos de búsqueda populares actuales"
"Default: No. When set to ""Yes"", the extension mechanism will be discarded when the search term entered by the user is amongst the popular terms suggestions. Eg : When the user has finished typing ""computer"", if the list of suggested search terms is (""computer"", ""peach computer"", ""computer for kids""), only ""computer"" will be taken into account for the products and categories autocomplete.","Predeterminado: No. Cuando se establece en ""Sí"", el mecanismo de extensión se descartará cuando el término de búsqueda introducido por el usuario se encuentre entre las sugerencias de términos populares. Ejemplo: Cuando el usuario ha terminado de escribir ""ordenador"", si la lista de términos de búsqueda sugeridos es (""computadora"", ""ordenador de melocotón"", ""computadora para niños""), sólo se tendrá en cuenta ""computadora"" para los productos y categorías autocompletados."
"All additional Elasticsuite packages are in the same version (%1) as the Elasticsuite core package (smile/elasticsuite).","Todos los paquetes adicionales de Elasticsuite están en la misma versión (%1) que el paquete principal de Elasticsuite (smile/elasticsuite)."
"Some additional Elasticsuite packages are <strong>not in the same version</strong> as the Elasticsuite core package <strong>smile/elasticsuite</strong> which is in version <strong>%1</strong>.","Algunos paquetes adicionales de Elasticsuite están <strong>no en la misma versión</strong> que el paquete principal de Elasticsuite <strong>smile/elasticsuite</strong> que está en la versión <strong>%1</strong>."
"You should <strong>update</strong> either the core or those additional <strong>Elasticsuite packages through composer</strong> so they share the exact same version.","Deberías <strong>actualizar</strong> ya sea el núcleo o aquellos paquetes <strong>Elasticsuite adicionales a través del composer</strong> para que compartan exactamente la misma versión."
"Those composer packages are: %1","Esos paquetes de compositores son: %1"
"All the required Hÿva/Elasticsuite compatibility modules (%1) are correctly installed.","Todos los módulos de compatibilidad de Hy.Uva/Elasticsuite (%1) necesarios están correctamente instalados."
"Your site is not using the Hÿva theme, there are no specific requirements to fulfill.","Su sitio web no está utilizando el tema Hyenva va , no hay requisitos específicos para cumplir."
"Your site uses the Hÿva theme through package <strong>%1</strong>. To work properly with Hÿva, Elasticsuite requires the installation of additional <strong>compatibility modules (%2)</strong>.","Su sitio utiliza el tema Hymañva a través del paquete <strong>%1</strong>. Para funcionar correctamente con HyPhysva, Elasticsuite requiere la instalación de módulos adicionales de compatibilidad <strong>(%2)</strong>."
"The compatibility modules <strong>%1 are missing</strong>. Please install them through composer.","Los módulos de compatibilidad <strong>%1 no tienen</strong>. Por favor, instálalos a través de composer."
"The compatibility module <strong>%1 is missing</strong>. Please install it through composer.","El módulo de compatibilidad <strong>%1 no tiene</strong>. Por favor, instálalo a través de composer."
"Magento is correctly configured to use Elasticsuite as its search engine.","Magento está configurado correctamente para usar Elasticsuite como su motor de búsqueda."
"Magento is not configured to use Elasticsuite as its search engine.","Magento no está configurado para usar Elasticsuite como su motor de búsqueda."
"Please click <a href=""%1""><strong>here</strong></a> to head to the <strong>Catalog Search Configuration</strong> and select ElasticSuite in the <strong>Search Engine</strong> field.","Por favor, haga clic <a href=""%1""><strong>aquí</strong></a> para ir a la <strong>Configuración de Búsqueda de Catálogo</strong> y seleccione ElasticSuite en el campo <strong>Motor de Búsqueda</strong>."
