"When set to yes, users are redirected (and all filters are reset) to the chosen category page when they use the category filter in layered navigation.","Cuando se establece en si, los usuarios son redireccionados (y todos los filtros son restablecidos) a la página de categoría elegida cuando utilizan el filtro de categoría en la navegación por capas.",""
"Expanded facets","Facetas expandidas",""
"Number of facets to display expanded by default.","Número de facetas a mostrar expandidas por defecto.",""
"ElasticSuite Category Indexing","Indexación de categorías de ElasticSuite",""
"Reindex ElasticSuite catalog categories.","Categorías de catálogo de Reindex ElasticSuite.",""
"Is Spellchecked","Está comprobado ortografía",""
"Yes","Sí",""
"No","Nu",""
"Layered Navigation Filters","Filtros de navegación por capas",""
"Attribute","Atributo",""
"Display Mode","Modo de pantalla",""
"Sort Order","Ordenar",""
"Pinned","Fijado",""
"Use Category Name in product search","Usar nombre de categoría en la búsqueda de producto",""
"Add New Optimizer","Añadir nuevo optimizador",""
"All Store Views","Todas las vistas de la tienda",""
"Store View","Vista de tienda",""
"ID","ID",""
"Query Text","Texto de consulta",""
"No search result for the current search.","No hay resultados de búsqueda para la búsqueda actual.",""
"Clear all products positions and blacklist status ? All products will be reset to be visible and in 'Automatic Sort'.","¿Borrar todas las posiciones de los productos y el estado de la lista negra? Todos los productos se restablecerán para ser visibles y en 'Orden automático'.",""
"Products","Productos",""
"Categories","Categorías",""
"Attributes","Atributos",""
"No value matching the search <b>%1</b>.","Ningún valor que coincida con la búsqueda <b>%1</b>.",""
"Logical OR (default)","Lógica O (por defecto)",""
"Logical AND","Y lógico",""
"When several values are selected in a facet/filter, the default behavior is to combine them with a logical OR (""red"" OR ""blue""). But a logical AND can be handy for some attributes (""egg free"" AND ""gluten free"", ""waterproof AND lightweight AND warm"").","Cuando se seleccionan varios valores en una faceta/filtro, el comportamiento por defecto es combinarlos con una OR lógica (""rojo"" O ""azul). Pero un AND lógico puede ser útil para algunos atributos (""""egg free"""" Y """"gluten libremente""""","waterproof AND lightweight AND warm"""")."""
"Facet internal logic","Lógica interna de facetas",""
"Category Name Weight","Influencia del nombre de categoría",""
"The search weight of category names when used in fulltext search.","El peso de la búsqueda de nombres de categorías cuando se utiliza en la búsqueda de texto completo.",""
"Elasticsuite mapping has been updated real-time. However, your modifications might not be visible until the Catalogsearch Fulltext index is completely rebuilt.","El mapeo de Elasticsuite ha sido actualizado en tiempo real. Sin embargo, sus modificaciones pueden no ser visibles hasta que el índice de texto completo de búsqueda de catálogo sea completamente reconstruido.",""
"Elasticsuite mapping could not be updated real-time. Please wait for the complete reindexing of Catalogsearch Fulltext index.","El mapeo de Elasticsuite no pudo ser actualizado en tiempo real. Por favor, espere a que se vuelva a indexar completamente el índice de texto completo de búsqueda de catálogo.",""
"Catalogsearch fulltext index has been invalidated.","El índice de búsqueda de catálogo de texto completo ha sido invalido.",""
"Enable adaptive slider","Activar diapositiva adaptativa",""
"If enabled, when necessary to support the presence of outlier values in the navigation context (for instance, a very high price amidst a majority of low prices), the price slider behavior changes so that the middle of the slider range corresponds to the median price instead of the price at the middle of the range.","Si está activado, cuando sea necesario para soportar la presencia de valores atípicos en el contexto de navegación (por ejemplo, un precio muy alto en medio de una mayoría de precios bajos), el comportamiento del deslizador de precios cambia para que el medio del rango de deslizante corresponda al precio medio en lugar del precio medio en el medio del rango.",""
"Include zero or false values","Incluye cero o valores falsos",""
"If set to Yes, zero (integer or numeric attribute) or false (boolean attribute) values will be indexed in the search engine (default is No). Also applies to source model keys/values of Dropdown/Multiple Select attributes.","Si se establece en Sí, cero (entero o atributo numérico) o falso (atributo booleano) los valores serán indexados en el motor de búsqueda (por defecto es No). También se aplica a las claves/valores del modelo fuente de los atributos de Dropdown/Selección múltiple.",""
"Display Category in Autocomplete","Mostrar categoría en autocompletado",""
"If the category can be displayed in autocomplete results.","Si la categoría puede mostrarse en los resultados de autocompletar.",""
"Enable indexing child product SKU in dedicated subfield","Habilitar indexación de producto hijo SKU en subcampo dedicado",""
"If enabled, child products SKUs of composite products will be indexed in a separate field and the ""sku"" field will only contain the parent product sku.","Si está activado, los productos secundarios SKUs de los productos compuestos se indexarán en un campo separado y el campo ""sku"" sólo contendrá el sku del producto padre.",""
"Enable indexing discount on child products","Habilitar descuento de indexación en productos secundarios",""
"Enable this if your catalog contains configurable products that are having childrens with different prices that could have separated discounts.","Habilite esto si su catálogo contiene productos configurables que están teniendo niños con precios diferentes que podrían haber separado descuentos.",""
"Use this field for span queries","Utilice este campo para consultas",""
"Discard the field length for scoring","Descartar la longitud del campo para puntuar",""
"Default : No. If set to Yes, the engine will try to match the current query string at the beginning of this string. Eg: when enabled on ""name"", if a customer search for ""red dress"", the engine will give an higher score to products having a name beginning by ""red dress"". This requires the Span Match Boost feature to be enabled.","Por defecto: No. Si se establece en Sí, el motor tratará de coincidir con la cadena de consulta actual al principio de esta cadena. Ej: cuando está activado en ""nombre"", si un cliente busca ""vestido rojo"", el motor dará una mayor puntuación a los productos que tienen un nombre comenzando por ""ropa roja"". Esto requiere que la función de Aumento de coincidencia de Span esté habilitada.",""
"Default : No. By default, the score of a text match in a field will vary according to the field length. Eg: when searching for ""dress"", a product named ""red dress"" will have an higher score than a product named ""red dress with long sleeves"". You can set this to ""Yes"" to discard this behavior.","Por defecto: No. De forma predeterminada, la puntuación de un texto en un campo variará en función de la longitud del campo. Ej: al buscar ""vestimentas"", un producto llamado ""vestimenta roja"" tendrá una puntuación más alta que un producto llamado ""vestido rojo con mangas largas"". Puede establecer esto como ""Sí"" para descartar este comportamiento.",""
"Default Search Analyzer","Analizador de búsqueda por defecto",""
"Default : standard. The default analyzer for this field. Should be set to ""reference"" for SKU-like fields. You can check the %1 screen to view how these analyzers behave.","Por defecto: estándar. El analizador predeterminado para este campo. Debe establecerse en ""referencia"" para campos tipo SKU. Puede comprobar la pantalla %1 para ver cómo se comportan estos analizadores.",""
"Layered Navigation Configuration","Configuración de navegación por capas",""
"Advanced Elasticsuite Configuration","Configuración avanzada de Elasticsuite",""
"Analysis Page","Página de análisis",""
"Ignore manual positions of out of stock products","Ignorar posiciones manuales de productos fuera de stock",""
"If you show out of stock products in the frontend (through the ""Catalog / Inventory / Stock Options / Display Out of Stock Products"" stores configuration setting), switch this setting to Yes to make sure that a manually positionned product (in categories or in search queries) is no longer shown in the configured manual positions when it becomes out of stock.","Si muestra productos fuera de stock en el frontend (a través de la configuración ""Catálogo / Inventario / Opciones de stock / Mostrar productos agotados""), cambie esta opción a Sí para asegurarse de que un producto manualmente posicionado (en categorías o en consultas de búsqueda) ya no se muestre en las posiciones manuales configuradas cuando se quede fuera de stock.",""
