"Attribute","Attributo",""
"Display Mode","Modalità Di Visualizzazione",""
"Sort Order","Ordina",""
"Pinned","Bloccato",""
"Use Category Name in product search","Usa il nome della categoria nella ricerca del prodotto",""
"Add New Optimizer","Aggiungi Nuovo Ottimizzatore",""
"All Store Views","Tutte Le Viste Negozio",""
"Store View","Vista Negozio",""
"ID","ID",""
"Query Text","Testo Query",""
"No search result for the current search.","Nessun risultato di ricerca per la ricerca attuale.",""
"Clear all products positions and blacklist status ? All products will be reset to be visible and in 'Automatic Sort'.","Cancellare tutte le posizioni dei prodotti e lo stato della blacklist? Tutti i prodotti saranno resettati a essere visibili e in 'Automatic Sort'.",""
"Products","Prodotti",""
"Categories","Categorie",""
"Attributes","Attributi",""
"No value matching the search <b>%1</b>.","Nessun valore corrispondente alla ricerca <b>%1</b>.",""
"Logical OR (default)","O Logico (predefinito)",""
"Logical AND","Logico E",""
"When several values are selected in a facet/filter, the default behavior is to combine them with a logical OR (""red"" OR ""blue""). But a logical AND can be handy for some attributes (""egg free"" AND ""gluten free"", ""waterproof AND lightweight AND warm"").","Quando vengono selezionati diversi valori in una sfaccettatura/filtro, il comportamento predefinito è combinarli con un OR logico (""rosso"" O ""blu). Ma un AND logico può essere utile per alcuni attributi (""""ovo"""" E """"senza glutine""""","waterproof AND lightweight AND warm"""")."""
"Facet internal logic","Facet logica interna",""
"Category Name Weight","Nome Categoria Peso",""
"The search weight of category names when used in fulltext search.","Il peso di ricerca dei nomi delle categorie quando usato nella ricerca di testo completo.",""
"Elasticsuite mapping has been updated real-time. However, your modifications might not be visible until the Catalogsearch Fulltext index is completely rebuilt.","Elasticsuite mapping è stato aggiornato in tempo reale. Tuttavia, le tue modifiche potrebbero non essere visibili fino a quando l'indice di testo completo Catalogsearch non sarà completamente ricostruito.",""
"Elasticsuite mapping could not be updated real-time. Please wait for the complete reindexing of Catalogsearch Fulltext index.","La mappatura di Elasticsuite non può essere aggiornata in tempo reale. Si prega di attendere la reindicizzazione completa dell'indice Catalogsearch Fulltext.",""
"Catalogsearch fulltext index has been invalidated.","L'indice fulltext Catalogsearch è stato invalidato.",""
"Enable adaptive slider","Abilita slider adattivo",""
"If enabled, when necessary to support the presence of outlier values in the navigation context (for instance, a very high price amidst a majority of low prices), the price slider behavior changes so that the middle of the slider range corresponds to the median price instead of the price at the middle of the range.","Se abilitato, se necessario per supportare la presenza di valori anomali nel contesto di navigazione (per esempio, un prezzo molto alto tra la maggior parte dei prezzi bassi), il comportamento del cursore del prezzo cambia in modo che il centro dell'intervallo di scorrimento corrisponda al prezzo mediano invece del prezzo al centro dell'intervallo.",""
"Include zero or false values","Includi valori zero o falsi",""
"If set to Yes, zero (integer or numeric attribute) or false (boolean attribute) values will be indexed in the search engine (default is No). Also applies to source model keys/values of Dropdown/Multiple Select attributes.","Se impostato a Sì, zero (intero o attributo numerico) o falsi (attributo booleano) i valori saranno indicizzati nel motore di ricerca (predefinito è No). Si applica anche ai tasti / valori del modello sorgente di Dropdown/Attributi Selezione multipla.",""
"Display Category in Autocomplete","Visualizza categoria in completamento automatico",""
"If the category can be displayed in autocomplete results.","Se la categoria può essere visualizzata in risultati di completamento automatico.",""
"Enable indexing child product SKU in dedicated subfield","Abilita l'indicizzazione SKU prodotto figlio nel sotto-campo dedicato",""
"If enabled, child products SKUs of composite products will be indexed in a separate field and the ""sku"" field will only contain the parent product sku.","Se abilitato, prodotti bambino SKU di prodotti compositi saranno indicizzati in un campo separato e il campo ""sku"" conterrà solo lo sku prodotto genitore.",""
"Enable indexing discount on child products","Abilita lo sconto di indicizzazione sui prodotti figli",""
"Enable this if your catalog contains configurable products that are having childrens with different prices that could have separated discounts.","Abilita questa opzione se il tuo catalogo contiene prodotti configurabili che hanno figli con prezzi diversi che potrebbero avere sconti separati.",""
"Use this field for span queries","Usa questo campo per le query di calibrazione",""
"Discard the field length for scoring","Scarta la lunghezza del campo per il punteggio",""
"Default : No. If set to Yes, the engine will try to match the current query string at the beginning of this string. Eg: when enabled on ""name"", if a customer search for ""red dress"", the engine will give an higher score to products having a name beginning by ""red dress"". This requires the Span Match Boost feature to be enabled.","Predefinito: No. Se impostato a Sì, il motore cercherà di abbinare la stringa di query corrente all'inizio di questa stringa. Eg: quando abilitato su ""nome"", se un cliente cerca ""abito rosso"", il motore darà un punteggio più alto a prodotti che hanno un nome che inizia da ""vestito rosso"". Questo richiede che la funzione Span Match Boost sia abilitata.",""
"Default : No. By default, the score of a text match in a field will vary according to the field length. Eg: when searching for ""dress"", a product named ""red dress"" will have an higher score than a product named ""red dress with long sleeves"". You can set this to ""Yes"" to discard this behavior.","Predefinito : No. Per impostazione predefinita, il punteggio di una corrispondenza di testo in un campo varierà a seconda della lunghezza del campo. Eg: alla ricerca di ""vestito"", un prodotto chiamato ""abito rosso"" avrà un punteggio più alto di un prodotto chiamato ""abito rosso con maniche lunghe"". È possibile impostare questo su ""Sì"" per scartare questo comportamento.",""
"Default Search Analyzer","Analizzatore Di Ricerca Predefinito",""
"Default : standard. The default analyzer for this field. Should be set to ""reference"" for SKU-like fields. You can check the %1 screen to view how these analyzers behave.","Predefinito: standard. L'analizzatore predefinito per questo campo. Deve essere impostato su ""reference"" per i campi simil-SKU. È possibile controllare la schermata %1 per visualizzare il comportamento di questi analizzatori.",""
"Layered Navigation Configuration","Configurazione Navigazione A Livelli",""
"Advanced Elasticsuite Configuration","Configurazione Avanzata Di Elasticsuite",""
"Analysis Page","Pagina Di Analisi",""
"Ignore manual positions of out of stock products","Ignora le posizioni manuali dei prodotti fuori magazzino",""
"If you show out of stock products in the frontend (through the ""Catalog / Inventory / Stock Options / Display Out of Stock Products"" stores configuration setting), switch this setting to Yes to make sure that a manually positionned product (in categories or in search queries) is no longer shown in the configured manual positions when it becomes out of stock.","Se si mostra fuori stock prodotti nel frontend (attraverso il ""Catalogo / Inventario / Stock Options / Display Out of Stock Products"" memorizza l'impostazione di configurazione), passare questa impostazione a Sì per assicurarsi che un prodotto posizionato manualmente (in categorie o nelle query di ricerca) non sia più mostrato nelle posizioni manuali configurate quando diventa fuori magazzino.",""
